team,overall_gms_2023,overall_total_2023,overall_avg_2023,year,overall_gms_2022,overall_total_2022,overall_avg_2022,year_2022,overall_gms_2021,overall_total_2021,overall_avg_2021,year_2021,overall_gms_2019,overall_total_2019,overall_avg_2019,year_2019,overall_gms_2018,overall_total_2018,overall_avg_2018,year_2018,overall_gms_2017,overall_total_2017,overall_avg_2017,year_2017,overall_gms_2016,overall_total_2016,overall_avg_2016,year_2016,overall_gms_2015,overall_total_2015,overall_avg_2015,year_2015,overall_gms_2014,overall_total_2014,overall_avg_2014,year_2014,overall_gms_2013,overall_total_2013,overall_avg_2013,year_2013,overall_gms_2012,overall_total_2012,overall_avg_2012,year_2012,overall_gms_2011,overall_total_2011,overall_avg_2011,year_2011,overall_gms_2010,overall_total_2010,overall_avg_2010,year_2010
New York Giants,17,"1,262,352","74,256",2023,17,"1,243,963","73,174",2022,17,"1,207,895","71,052",2021,16,"1,143,109","71,444",2019,16,"1,183,132","73,945",2018,16,"1,183,037","73,939",2017,16,"1,217,320","76,082",2016,16,"1,198,163","74,885",2015,16,"1,195,369","74,710",2014,16,"1,209,532","75,595",2013,16,"1,229,929","76,870",2012,16,"1,232,157","77,009",2011,16,"1,191,095","74,443",2010
Green Bay Packers,17,"1,242,403","73,082",2023,17,"1,213,888","71,405",2022,17,"1,187,232","69,837",2021,16,"1,154,661","72,166",2019,16,"1,163,842","72,740",2018,16,"1,183,556","73,972",2017,16,"1,169,215","73,075",2016,16,"1,147,786","71,736",2015,16,"1,148,560","71,785",2014,16,"1,191,205","74,450",2013,16,"1,106,110","69,131",2012,16,"1,123,023","70,188",2011,16,"1,122,668","70,166",2010
Los Angeles Rams,17,"1,235,049","72,649",2023,17,"1,218,216","71,659",2022,17,"1,187,786","69,869",2021,16,"760,644","47,540",2019,16,"1,102,409","68,900",2018,16,"1,062,261","66,391",2017,9,"607,071","67,452",2016,16,"957,670","59,854",2015,16,"1,069,529","66,845",2014,16,"1,052,439","65,777",2013,16,"1,022,066","63,879",2012,16,"1,064,892","66,555",2011,16,"911,195","56,949",2010
Los Angeles Rams,17,"1,235,049","72,649",2023,17,"1,218,216","71,659",2022,17,"1,187,786","69,869",2021,16,"760,644","47,540",2019,16,"1,102,409","68,900",2018,16,"1,062,261","66,391",2017,9,"607,071","67,452",2016,16,"957,670","59,854",2015,16,"1,069,529","66,845",2014,16,"1,052,439","65,777",2013,16,"1,022,066","63,879",2012,16,"1,064,892","66,555",2011,16,"1,028,715","64,294",2010
Los Angeles Rams,17,"1,235,049","72,649",2023,17,"1,218,216","71,659",2022,17,"1,187,786","69,869",2021,16,"760,644","47,540",2019,16,"1,102,409","68,900",2018,16,"1,062,261","66,391",2017,9,"607,071","67,452",2016,16,"957,670","59,854",2015,16,"1,069,529","66,845",2014,16,"1,052,439","65,777",2013,16,"1,022,066","63,879",2012,16,"1,002,051","62,628",2011,16,"911,195","56,949",2010
Los Angeles Rams,17,"1,235,049","72,649",2023,17,"1,218,216","71,659",2022,17,"1,187,786","69,869",2021,16,"760,644","47,540",2019,16,"1,102,409","68,900",2018,16,"1,062,261","66,391",2017,9,"607,071","67,452",2016,16,"957,670","59,854",2015,16,"1,069,529","66,845",2014,16,"1,052,439","65,777",2013,16,"1,022,066","63,879",2012,16,"1,002,051","62,628",2011,16,"1,028,715","64,294",2010
Los Angeles Rams,17,"1,235,049","72,649",2023,17,"1,218,216","71,659",2022,17,"1,187,786","69,869",2021,16,"760,644","47,540",2019,16,"1,102,409","68,900",2018,16,"1,062,261","66,391",2017,9,"607,071","67,452",2016,16,"957,670","59,854",2015,16,"1,069,529","66,845",2014,16,"1,052,439","65,777",2013,15,"891,821","59,454",2012,16,"1,064,892","66,555",2011,16,"911,195","56,949",2010
Los Angeles Rams,17,"1,235,049","72,649",2023,17,"1,218,216","71,659",2022,17,"1,187,786","69,869",2021,16,"760,644","47,540",2019,16,"1,102,409","68,900",2018,16,"1,062,261","66,391",2017,9,"607,071","67,452",2016,16,"957,670","59,854",2015,16,"1,069,529","66,845",2014,16,"1,052,439","65,777",2013,15,"891,821","59,454",2012,16,"1,064,892","66,555",2011,16,"1,028,715","64,294",2010
Los Angeles Rams,17,"1,235,049","72,649",2023,17,"1,218,216","71,659",2022,17,"1,187,786","69,869",2021,16,"760,644","47,540",2019,16,"1,102,409","68,900",2018,16,"1,062,261","66,391",2017,9,"607,071","67,452",2016,16,"957,670","59,854",2015,16,"1,069,529","66,845",2014,16,"1,052,439","65,777",2013,15,"891,821","59,454",2012,16,"1,002,051","62,628",2011,16,"911,195","56,949",2010
Los Angeles Rams,17,"1,235,049","72,649",2023,17,"1,218,216","71,659",2022,17,"1,187,786","69,869",2021,16,"760,644","47,540",2019,16,"1,102,409","68,900",2018,16,"1,062,261","66,391",2017,9,"607,071","67,452",2016,16,"957,670","59,854",2015,16,"1,069,529","66,845",2014,16,"1,052,439","65,777",2013,15,"891,821","59,454",2012,16,"1,002,051","62,628",2011,16,"1,028,715","64,294",2010
